フレンズID,わざ種別,効果種別,威力,対象,条件,効果ターン,発動率,発動回数,備考
マネキネコ,とくせい,与ダメージ増加,0.15,味方全体,ラブリー属性の味方,-,-,-,
マネキネコ,けものミラクル,与ダメージ増加,0.24,味方全体,ラブリー属性の味方,3ターン,中確率,-,必要MP140
マネキネコ,けものミラクル,与ダメージ増加,0.31,味方全体,ラブリー属性の味方,3ターン,-,-,必要MP140
ライオン,なないろとくせい,与ダメージ増加,0.1,味方全体,ギブアップ中ではない味方が3人以上,-,-,-,
ビャッコ,なないろとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,自身がギブアップ状態でない,-,-,-,
クロサイ(緑),けものミラクル,与ダメージ増加,0.24,自身を除く~~味方全体,-,2ターン,-,-,必要MP90
マイルカ,なないろとくせい,与ダメージ増加,0.1,味方全体,ファニー属性の味方,-,-,-,
ミーアキャット,なないろとくせい,与ダメージ増加,0.15,味方全体,ファニー属性の味方,-,-,-,
フクロネコ,なないろとくせい,与ダメージ増加,0.1,味方全体,ちぐはぐリズム状態の相手~~フレンドリー属性の味方,-,-,-,
アムールトラ,なないろとくせい,与ダメージ増加,0.1,味方全体,自身のたいりょくが30%以下~~フレンドリー属性の味方,-,-,-,
ハブ,なないろとくせい,与ダメージ増加,0.25,味方全体,どく状態の相手~~アクティブ属性の味方,-,-,-,
ニホンザル,なないろとくせい,与ダメージ増加,0.1,味方全体,フレンドリー属性の味方~~自身のたいりょくが60%以上,-,-,-,
ヌエ,とくせい,与ダメージ増加,0.2,味方全体,ラブリー属性の味方,-,-,-,
ヌエ,たいきスキル,与ダメージ増加,0.2,味方全体,-,1ターン,1,1回,
ニルガイ,キセキとくせい,与ダメージ増加,0.2,自身を除く~~味方全体,たいりょくが70%以上,-,-,-,
ニルガイ,けものミラクル,与ダメージ増加,0.29,味方全体,-,3ターン,-,-,必要MP120
ジュゴン,とくせい,与ダメージ増加,0.1,味方全体,マイペース属性の味方,-,-,-,
ジュゴン,キセキとくせい,与ダメージ増加,0.15,味方全体,ギブアップ中ではない味方が5人,-,-,-,
ホッキョクギツネ,なないろとくせい,与ダメージ増加,0.15,味方全体,自身がひやひや状態~~ラブリー属性の味方,-,-,-,
コアラ,なないろとくせい,与ダメージ増加,0.1,味方全体,マイペース属性の味方,-,-,-,
コアラ,なないろとくせい,与ダメージ増加,0.1,味方全体,マイペース属性の味方~~自身のたいりょくが50%以上,-,-,-,
ホワイトライオン(青),とくせい,与ダメージ増加,0.35,味方全体,ひやひや状態の相手~~リラックス、ラブリー属性の相手,-,-,-,
ホワイトライオン(青),とくせい,与ダメージ増加,0.15,味方全体,自身がひやひや状態~~リラックス、ラブリー属性の相手,-,-,-,
ホワイトライオン(青),けものミラクル,与ダメージ増加,0.14,自身を除く~~味方全体,-,2ターン,-,-,必要MP110
オオフウチョウ,なないろとくせい,与ダメージ増加,0.05,味方全体,フレンドリー属性の味方~~たいりょくが50%以上,-,-,-,
エランド,とくせい,与ダメージ増加,0.15,味方全体,ファニー属性の味方,-,-,-,
イワハイラックス,キセキとくせい,与ダメージ増加,0.15,味方全体,ラブリー属性の味方,-,-,-,
ボルネオゾウ,けものミラクル,与ダメージ増加,0.34,味方全体,-,3ターン,-,-,必要MP140
ボルネオゾウ,とくせい,与ダメージ増加,0.15,自身を除く~~味方全体,アクティブ属性の味方~~たいりょく70%以上,-,-,-,
ボルネオゾウ,キセキとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,アクティブ属性の味方~~たいりょく70%以下,-,-,-,
ボルネオゾウ,キセキとくせい,与ダメージ増加,0.05,味方全体,アクティブ属性の味方,-,-,-,
シャチ,なないろとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,-,-,-,-,
スペインオオヤマネコ,キセキとくせい,与ダメージ増加,0.2,自身を除く~~味方全体,たいりょく40%以上,-,-,-,
スペインオオヤマネコ,とくせい,与ダメージ増加,0.15,味方全体,フレンドリー属性の味方,-,-,-,
スペインオオヤマネコ,けものミラクル,与ダメージ増加,0.34,味方全体,-,3ターン,-,-,必要MP100
スザク,なないろとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,ばてばてヒリヒリ状態の相手,-,-,-,
赤龍,キセキとくせい,与ダメージ増加,0.2,味方全体,-,-,-,-,
赤龍,たいきスキル,与ダメージ増加,0.1,自身を除く~~味方全体,-,2ターン,1,2回,
赤龍,けものミラクル,与ダメージ増加,0.35,味方全体,ラブリー、ファニー属性の味方,3ターン,-,-,必要MP160
オイナリサマ,なないろとくせい,与ダメージ増加,0.15,味方全体,ラブリー属性の味方~~自身がギブアップ状態でない,-,-,-,
マナティー,とくせい,与ダメージ増加,0.1,自身を除く~~味方全体,-,-,-,-,
セグロジャッカル,たいきスキル,与ダメージ増加,0.15,自身を除く~~味方全体,-,2ターン,1,2回,
サバンナセンザンコウ,キセキとくせい,与ダメージ増加,0.15,味方全体,ファニー属性の味方~~たいりょく50%以下,-,-,-,
サバンナセンザンコウ,キセキとくせい,与ダメージ増加,0.1,味方全体,ファニー属性の味方,-,-,-,
クロサイ,なないろとくせい,与ダメージ増加,0.15,自身を除く~~味方全体,自身がギブアップ状態でない,-,-,-,
シマリス,なないろとくせい,与ダメージ増加,0.15,味方全体,ズキンズキン状態の相手~~フレンドリー属性の味方,-,-,-,
ハゲワシ,キセキとくせい,与ダメージ増加,0.15,味方全体,フレンドリー属性の味方,-,-,-,
フタコブラクダ,なないろとくせい,与ダメージ増加,0.1,味方全体,マイペース属性の味方,-,-,-,
アリゲーター,キセキとくせい,与ダメージ増加,0.15,味方全体,アクティブ属性の味方,-,-,-,
ショウジョウトキ,なないろとくせい,与ダメージ増加,0.15,味方全体,セルリアン戦,-,-,-,
イエウサギ,キセキとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,ラブリー属性の味方,-,-,-,
イエウサギ,とくせい,与ダメージ増加,0.2,味方全体,ラブリー属性の味方~~状態異常の相手,-,-,-,
イエウサギ,たいきスキル,与ダメージ増加,0.1,味方前列,-,1ターン,1,4回,
真・青龍,キセキとくせい,与ダメージ増加,0.15,味方全体,自身がギブアップ状態でない,-,-,-,
真・青龍,とくせい,与ダメージ増加,0.1,自身を除く~~味方全体,リラックス属性の味方,-,-,-,
セイリュウ,なないろとくせい,与ダメージ増加,0.04,自身を除く~~味方全体,自身がギブアップ状態でない,-,-,-,
タスマニアデビル,なないろとくせい,与ダメージ増加,0.03,味方全体,フレンドリー、ラブリー~~属性の味方,-,-,-,
ピーチパンサー(黄緑),とくせい,与ダメージ増加,0.15,味方全体,アクティブ属性の味方~~自身がギブアップ状態でない,-,-,-,
ジャイアントペンギン,なないろとくせい,与ダメージ増加,0.1,味方前列,-,-,-,-,
ギロロ,たいきスキル,与ダメージ増加,0.15,味方全体,-,1ターン,1,3回,
ダチョウ,とくせい,与ダメージ増加,0.05,味方全体,-,-,-,-,
アラスカラッコ,キセキとくせい,与ダメージ増加,0.1,味方全体,自身がギブアップ状態でない~~ひやひや状態の相手,-,-,-,
アラスカラッコ,キセキとくせい,与ダメージ増加,0.05,味方全体,自身がギブアップ状態でない~~ひやひや状態の相手~~マイペース属性の相手,-,-,-,
ビントロング,キセキとくせい,与ダメージ増加,0.15,味方全体,自身のたいりょくが80%以上~~からげんき状態の相手~~フレンドリー属性の味方,-,-,-,
ビントロング,とくせい,与ダメージ増加,0.1,味方全体,フレンドリー属性の味方,-,-,-,
ビントロング,たいきスキル,与ダメージ増加,0.25,味方全体,フレンドリー属性の味方,1ターン,1,2回,
ステラーカイギュウ,とくせい,与ダメージ増加,0.15,味方全体,-,-,-,-,
ステラーカイギュウ,けものミラクル,与ダメージ増加,0.39,自身を除く~~味方全体,ラブリー属性の味方,3ターン,-,-,必要MP80
カピバラ,なないろとくせい,与ダメージ増加,0.15,味方全体,自身のたいりょくが100%~~アクティブ属性の味方,-,-,-,
カリフォルニアアシカ,なないろとくせい,与ダメージ増加,0.15,味方全体,-,-,-,-,
エリマキトカゲ,キセキとくせい,与ダメージ増加,0.1,味方全体,ファニー属性の味方~~自身がギブアップ状態でない,-,-,-,
コモドドラゴン(桃),キセキとくせい,与ダメージ増加,0.2,味方全体,自身がどく状態,-,-,-,
オジロヌー,なないろとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,-,-,-,-,
トナカイ,なないろとくせい,与ダメージ増加,0.1,味方全体,フレンドリー属性の味方,-,-,-,
トナカイ,なないろとくせい,与ダメージ増加,0.1,味方全体,地形が寒冷地~~フレンドリー属性の味方,-,-,-,
エゾユキウサギ,たいきスキル,与ダメージ増加,0.15,自身を除く~~味方全体,アクティブ属性の味方,1ターン,1,1回,
エゾユキウサギ,とくせい,与ダメージ増加,0.1,自身を除く~~味方全体,アクティブ属性の味方,-,-,-,
バンテン,キセキとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,フレンドリー属性の味方,-,-,-,
クロテン,キセキとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,自身がギブアップ状態でない,-,-,-,
クロテン,とくせい,与ダメージ増加,0.1,味方全体,リラックス、アクティブ~~属性の味方,-,-,-,
クロテン,けものミラクル,与ダメージ増加,0.34,味方全体,-,-,-,-,必要MP120
ホンドテン,キセキとくせい,与ダメージ増加,0.05,味方全体,アクティブ、リラックス~~属性の味方,-,-,-,
チャップマンシマウマ,なないろとくせい,与ダメージ増加,0.07,味方全体,自身がギブアップ状態でない,-,-,-,
マメジカ,キセキとくせい,与ダメージ増加,0.2,味方全体,マイペース、リラックス~~属性の味方,-,-,-,
マメジカ,けものミラクル,与ダメージ増加,0.29,自身を除く~~味方全体,マイペース、~~リラックス属性の味方,2ターン,-,-,必要MP120
ヤブツカツクリ,キセキとくせい,与ダメージ増加,0.1,味方全体,-,-,-,-,
ヤブツカツクリ,とくせい,与ダメージ増加,0.15,自身を除く~~味方全体,ファニー属性の味方~~自身がギブアップ状態でない,-,-,-,
ダイトウオオコウモリ,キセキとくせい,与ダメージ増加,0.1,味方全体,-,-,-,-,
オジロヌー,キセキとくせい,与ダメージ増加,0.07,味方全体,-,-,-,-,
アイベックス,キセキとくせい,与ダメージ増加,0.1,味方全体,ラブリー属性の味方~~自身のたいりょくが60%以上,-,-,-,
ヒメウォンバット,とくせい,与ダメージ増加,0.1,自身を除く~~味方全体,アクティブ属性の味方,-,-,-,
スカイフィッシュ(水),キセキとくせい,与ダメージ増加,0.2,自身を除く~~味方全体,自身のたいりょくが100%,-,-,-,
クビワペッカリー,キセキとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,ラブリー属性の味方,-,-,-,
クビワペッカリー,とくせい,与ダメージ増加,0.1,味方全体,ラブリー属性の味方,-,-,-,
ウミウ,たいきスキル,与ダメージ増加,0.09,味方全体,マイペース属性の味方,3ターン,0.7,∞,
【大きな瞳の美人顔】サーバル,けものミラクル,与ダメージ増加,0.4,味方全体,-,3ターン,-,-,必要MP140
【大きな瞳の美人顔】サーバル,キセキとくせい,与ダメージ増加,0.2,味方全体,ギブアップ中ではない~~味方が5人,-,-,-,
【大きな瞳の美人顔】サーバル,たいきスキル,与ダメージ増加,0.1,味方全体,-,3ターン,1,1回,
インパラ,キセキとくせい,与ダメージ増加,0.1,味方全体,マイペース属性の味方~~強敵出現wave,-,-,-,
タテガミオオカミ,とくせい,与ダメージ増加,0.2,味方全体,アクティブ属性の味方~~くたくた状態の相手,-,-,-,
タテガミオオカミ,キセキとくせい,与ダメージ増加,0.1,味方全体,アクティブ属性の味方,-,-,-,
アメリカレア,キセキとくせい,与ダメージ増加,0.2,味方全体,ファニー属性の味方~~くらくら状態の相手,-,-,-,
カラカル(桃),キセキとくせい,与ダメージ増加,0.1,味方全体,味方がギブアップするたび~~ラブリー属性の味方,-,-,4回,
N・ハイランドワイルドドッグ,けものミラクル,与ダメージ増加,0.29,味方全体,-,2ターン,-,-,必要MP80
N・ハイランドワイルドドッグ,とくせい,与ダメージ増加,0.1,自身を除く~~味方全体,マイペース属性の味方,-,-,-,
シーラカンス,たいきスキル,与ダメージ増加,0.05,味方全体,-,3ターン,1,3回,
シーラカンス,とくせい,与ダメージ増加,0.1,味方全体,-,-,-,-,
シーラカンス,キセキとくせい,与ダメージ増加,0.2,自身を除く~~味方全体,自身がギブアップ~~状態でないとき,-,-,-,
キンイロジャッカル,たいきスキル,与ダメージ増加,0.15,味方全体,フレンドリー属性の味方,1ターン,0.75,3回,
アフリカンゴールデンウルフ,キセキとくせい,与ダメージ増加,5%×ギブアップ~~していない味方1人,味方全体,アクティブ属性の味方,-,-,-,
オグロプレーリードッグ,なないろとくせい,与ダメージ増加,0.05,味方全体,ファニー属性の味方,-,-,-,
オグロプレーリードッグ,なないろとくせい,与ダメージ増加,0.05,味方全体,たいりょくが50%以下,-,-,-,
フクロオオカミ,とくせい,与ダメージ増加,0.2,味方全体,リラックス属性の味方~~自身が状態異常でない,-,-,-,
フクロオオカミ,キセキとくせい,与ダメージ増加,5%×自身の残っている~~たいりょく20%,自身を除く~~味方全体,リラックス属性の味方,-,-,-,
カモメ,けものミラクル,与ダメージ増加,0.29,味方全体,-,2ターン,-,-,必要MP120
カモメ,けものミラクル,与ダメージ増加,0.29,味方全体,ファニー属性の味方,2ターン,-,-,必要MP120
オセロット,キセキとくせい,与ダメージ増加,0.3,味方全体,自身がすやすや状態のとき,-,-,,
オセロット,とくせい,与ダメージ増加,0.15,味方全体,フレンドリー属性の味方,-,-,-,
シロクジャク,キセキとくせい,与ダメージ増加,0.15,自身を除く~~味方全体,ラブリー属性の味方,-,-,-,
シロクジャク,たいきスキル,与ダメージ増加,0.1,自身を除く~~味方全体,ラブリー属性の味方,3ターン,1,1回,
シロクジャク,けものミラクル,与ダメージ増加,0.24,自身を除く~~味方全体,ラブリー属性の味方,3ターン,-,-,必要MP100
ブラッザグエノン,なないろとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,アクティブ属性の味方~~状態異常の相手,-,-,-,
オオセンザンコウ,なないろとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,自身のたいりょくが50%以下,-,-,-,
タヌキ,なないろとくせい,与ダメージ増加,0.05,味方全体,フレンドリー属性の味方~~自身がギブアップ状態でない,-,-,-,
アフリカオオコノハズク,なないろとくせい,与ダメージ増加,0.05,味方全体,-,-,-,-,
セキショクヤケイ,とくせい,与ダメージ増加,0.3,味方全体,ファニー属性の味方~~くらくら状態の相手,-,-,-,
ワシミミズク(水),とくせい,与ダメージ増加,0.2,味方全体,状態異常の相手,-,-,-,
ワシミミズク(水),けものミラクル,与ダメージ増加,0.19,味方全体,-,4ターン,-,-,必要MP60
ジェネット,とくせい,与ダメージ増加,0.1,味方全体,-,-,-,-,
ヒトコブラクダ,キセキとくせい,与ダメージ増加,0.1,味方全体,ギブアップ中ではない味方が2人以上~~ファニー、マイペース属性の味方,-,-,-,
ヒツジ,キセキとくせい,与ダメージ増加,0.1,味方前列,-,-,-,-,
ホッキョクウサギ,キセキとくせい,与ダメージ増加,0.05,味方全体,地形が寒冷地,-,-,-,
オグロスナギツネ,とくせい,与ダメージ増加,0.1,自身を除く~~味方全体,アクティブ属性の味方,-,-,-,
オグロスナギツネ,たいきスキル,与ダメージ増加,0.05,自身を除く~~味方全体,アクティブ属性の味方,2ターン,1,∞,
カナダオオヤマネコ,キセキとくせい,与ダメージ増加,0.2,自身を除く~~味方全体,ひやひや状態の相手~~アクティブ属性の味方~~自身のたいりょくが50%以上,-,-,-,
オジロスナギツネ,とくせい,与ダメージ増加,0.1,味方全体,-,-,-,-,
オジロスナギツネ,キセキとくせい,与ダメージ増加,0.1,味方全体,ファニー属性の味方,-,-,-,
エトピリカ,けものミラクル,与ダメージ増加,0.19,味方全体,ファニー属性の味方,3ターン,-,-,必要MP70
エトピリカ,とくせい,与ダメージ増加,0.15,自身を除く~~味方全体,ファニー属性の味方,-,-,-,
エトピリカ,キセキとくせい,与ダメージ増加,0.1,味方全体,ファニー属性の味方,-,-,-,
ケロロ,とくせい,与ダメージ増加,2%^ギブアップ~~していない味方の人数,味方全体,-,-,-,-,
ヤブノウサギ,けものミラクル,与ダメージ増加,0.34,味方全体,-,3ターン,-,-,MP90時点
ヤブノウサギ,たいきスキル,与ダメージ増加,0.15,自身を除く~~味方全体,-,2ターン,1,1回,
ヤブノウサギ,キセキとくせい,与ダメージ増加,0.15,味方全体,ファニー属性の味方,-,-,-,
アカギツネ(青),けものミラクル,与ダメージ増加,0.25,味方全体,リラックス属性の味方,3ターン,-,-,必要MP120
アカギツネ(青),たいきスキル,与ダメージ増加,0.12,自身を除く~~味方全体,-,2ターン,1,1回,
アカギツネ(青),とくせい,与ダメージ増加,0.15,自身を除く~~味方全体,自身のたいりょくが60%以上~~リラックス属性の味方,-,-,-,
アカギツネ(青),キセキとくせい,与ダメージ増加,0.3,味方全体,状態異常の相手,-,-,-,
ホワイトカリブー,たいきスキル,与ダメージ増加,0.1,味方全体,ラブリー属性の味方,3ターン,1,2回,
ドールシープ,たいきスキル,与ダメージ増加,0.15,味方全体,ギブアップ中ではない味方が5人,2ターン,1,2回,
ドールシープ,とくせい,与ダメージ増加,0.1,味方全体,ギブアップ中ではない味方が5人~~アクティブ属性の味方,-,-,-,
カマイタチ・治,けものミラクル,与ダメージ増加,0.29,味方全体,ファニー、フレンドリー、~~マイペース属性の味方,2ターン,-,-,必要MP120
カマイタチ・治,たいきスキル,与ダメージ増加,0.1,味方全体,ファニー、フレンドリー、~~マイペース属性の味方,1ターン,0.75,∞,
カマイタチ・切,キセキとくせい,与ダメージ増加,0.1,味方全体,自身がギブアップ状態でない,-,-,-,
マントヒヒ,たいきスキル,与ダメージ増加,0.1,相手単体,マイペース属性の味方,3ターン,1,2回,
カニクイアライグマ,キセキとくせい,与ダメージ増加,0.1,味方全体,自身が状態異常でないとき~~リラックス属性またはマイペース属性の味方,-,-,-,
ディアトリマ,たいきスキル,与ダメージ増加,0.1,味方全体,アクティブ属性の味方,2ターン,1,1回,
ディアトリマ,とくせい,与ダメージ増加,0.05,自身を除く~~味方全体,アクティブ属性の味方~~ギブアップ状態ではない味方が5人,-,-,-,
シベリアオオヤマネコ,たいきスキル,与ダメージ増加,0.1,味方全体,ズキンズキン状態の相手~~マイペース属性の味方,2ターン,1,2回,
シマリス,キセキとくせい,与ダメージ増加,0.15,味方全体,フレンドリー属性の味方,-,-,-,
ウサギコウモリ,とくいわざ,与ダメージ増加,0.05,味方全体,ラブリー属性の味方,3ターン,中確率,-,
ウサギコウモリ,とくいわざ,与ダメージ増加,0.05,味方全体,-,3ターン,低確率,-,
ブラックバック(赤),たいきスキル,与ダメージ増加,0.15,自身を除く~~味方全体,ファニー属性の味方,3ターン,1,1回,-
ツクヨミノシンシ,キセキとくせい,与ダメージ増加,0.2,自身を除く~~味方全体,ステージの時間が夜~~アクティブ属性の味方,-,-,-,
コウノトリ,とくせい,与ダメージ増加,0.1,自身を除く~~味方全体,ラブリー属性の味方~~自身のたいりょくが80%以上,-,-,-,
コウノトリ,たいきスキル,与ダメージ増加,0.1,自身を除く~~味方全体,ラブリー属性の味方,3ターン,1,2回,
ちびくまモン,けものミラクル,与ダメージ増加,0.16,味方全体,-,3ターン,-,-,
ちびくまモン,キセキとくせい,与ダメージ増加,0.12,自身を除く~~味方全体,リラックス属性の味方,-,-,-,
ちびくまモン,キセキとくせい,与ダメージ増加,0.12,味方全体,自身のたいりょくが30%以上,-,-,-,
ルリコンゴウインコ,キセキとくせい,与ダメージ増加,0.05,味方全体,マイペース属性の味方~~自身のたいりょくが80%以上,-,-,-,
ルリコンゴウインコ,たいきスキル,与ダメージ増加,0.05,味方全体,マイペース属性の味方,2ターン,1,1回,
ブチハイエナ,キセキとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,ステージの時間が夜~~フレンドリー属性の味方~~くたくた状態の相手,-,-,-,
ブチハイエナ,たいきスキル,与ダメージ増加,0.15,味方全体,フレンドリー属性の味方~~くたくた状態の相手,3ターン,1,1回,
麒麟,とくせい,与ダメージ増加,0.07,味方全体,アクティブ属性の味方,-,-,-,
麒麟,とくせい,与ダメージ増加,0.06,味方全体,-,-,-,-,
麒麟,けものミラクル,与ダメージ増加,0.15,味方全体,アクティブ属性の味方,3ターン,-,-,
麒麟,けものミラクル,与ダメージ増加,0.35,味方全体,-,3ターン,-,-,
インドサイ,とくせい,与ダメージ増加,0.1,自身を除く~~味方全体,地形がサバンナ~~アクティブ属性の味方,-,-,-,
マサイキリン,とくせい,与ダメージ増加,0.05,自身を除く~~味方全体,リラックス属性の味方,-,-,-,
マサイキリン,たいきスキル,与ダメージ増加,0.1,味方全体,リラックス属性の味方,2ターン,0.8,∞,
アマゾンツリーボア,とくせい,与ダメージ増加,0.1,味方全体,自身のたいりょくが60%以下,-,-,-,
アマゾンツリーボア,キセキとくせい,与ダメージ増加,0.2,味方全体,ズキンズキン状態の相手~~ファニーアクティブ属性の味方,-,-,-,
エメラルドツリーボア,たいきスキル,与ダメージ増加,0.1,自身を除く~~味方全体,アクティブ属性の味方,2ターン,1,2回,
エメラルドツリーボア,キセキとくせい,与ダメージ増加,0.2,自身を除く~~味方全体,びりびり状態の相手~~ファニー属性、アクティブ属性の味方,-,-,-,
ツシマヤマネコ,けものミラクル,与ダメージ増加,0.4,味方全体,-,3ターン,-,-,
ツシマヤマネコ,たいきスキル,与ダメージ増加,0.1,味方全体,-,2ターン,1,2回,
ツシマヤマネコ,キセキとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,ステージの時間が夜~~リラックス属性の味方,-,-,-,
ムック,けものミラクル,与ダメージ増加,0.45,自身を除く~~味方全体,-,2ターン,-,-,
ムック,とくせい,与ダメージ増加,0.15,自身を除く~~味方全体,-,-,-,-,
アオツラカツオドリ,けものミラクル,与ダメージ増加,0.35,味方全体,-,2ターン,-,-,
ホロホロチョウ,キセキとくせい,与ダメージ増加,0.15,味方全体,ファニー属性の味方~~自身がギブアップしたとき,3ターン,-,1回,
ホロホロチョウ,たいきスキル,与ダメージ増加,0.1,味方全体,-,2ターン,低確率~~たいき発動率100%,2回,
セイウチ,けものミラクル,与ダメージ増加,0.35,味方全体,マイペース属性の味方~~ひやひや状態の相手,2ターン,-,-,
セイウチ,たいきスキル,与ダメージ増加,0.1,味方全体,-,1ターン,0.5,∞,
セイウチ,キセキとくせい,与ダメージ増加,0.15,味方全体,地形が寒冷地かみずべ~~リラックス属性の味方,-,-,,
ヒメアルマジロ,けものミラクル,与ダメージ増加,0.3,味方全体,フレンドリー属性の味方,2ターン,-,-,
ヒメアルマジロ,とくせい,与ダメージ増加,0.1,自身を除く~~味方全体,フレンドリー属性の味方,-,-,-,
ヒメアルマジロ,キセキとくせい,与ダメージ増加,0.1,味方全体,フレンドリー属性の味方,-,-,-,
ダンザブロウダヌキ,たいきスキル,与ダメージ増加,0.1,味方全体,-,2ターン,1,1回,
ラーテル,たいきスキル,与ダメージ増加,0.1,味方全体,アクティブ属性の味方,2ターン,1,2回,
コヨーテ,キセキとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,アクティブ属性の味方,-,-,-,
コヨーテ,たいきスキル,与ダメージ増加,0.02,味方全体,-,10ターン,1,1回,
