レア度,フォト名,属性,入手,実装日,ページURL,イラストレーター名,変化前アイコンURL,変化後アイコンURL,とくせい(変化前),とくせい(変化後),Lv.1たいりょく,Lv.1こうげき,Lv.1まもり,変化前たいりょく,変化前こうげき,変化前まもり,変化後たいりょく,変化後こうげき,変化後まもり,,EOH
2,だいじなメガネ,足跡,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/hSLpSdBrFM.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/_Iiac_xl9c.png,被ダメージが2％減少する,被ダメージが&color(red){3％}減少する,282,121,92,615,263,200,845,361,276,,
2,ただたいたたすたき,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/QaWU_nc97x.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/5ChsHukcW6.png,どく耐性（低）が増加する,どく耐性（低）と&color(red){くらくら耐性（低）}が増加する,159,121,160,346,263,349,475,362,480,,
3,タマゴのみちびき,青,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/bk7d2OihH4.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/cAti56GtKW.png,たいりょくが60%以下のときかいひが2%増加する~~ステージの時間が夜の場合、さらにかいひが2%増加する,たいりょくが&color(red){80%以下}のときかいひが&color(red){3%}増加する~~ステージの時間が夜の場合、さらにかいひが&color(red){3%}増加する,647,165,36,1501,382,82,1940,494,106,,
3,ちゃんとみてね！,青,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/zoByXaBFYa.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/49epDJI7UF.png,&color(#0075c8){たいりょくが50%以下のとき}くらくら耐性（中）が増加する,くらくら耐性（中）が増加する,467,103,222,1084,238,515,1401,308,666,,
2,つーん,青,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/o3bSYrqd2W.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/drTxdDJE5V.png,&color(#0075c8){たいりょくが60％以下のとき}MPが8増加する~~（発動回数：1回）,&color(red){バトル開始時に}MPが8増加する（発動回数：1回）,235,67,194,513,145,422,705,199,580,,
1,ティルセル,足跡,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/Yt7SgP5TTq.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/sWdwKeymde.png,なし,なし,40,110,40,73,214,74,109,324,111,,
1,トゲ,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/8K7Fp9oGzq.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/rrFneYR1ry.png,なし,なし,0,127,30,0,250,60,0,380,93,,
2,とび出し注意！,青,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/fPE5TnuqHA.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/gWDnbEco8d.png,たいりょくが60％以下のとき~~相手全体のかいひを7％減少させる,たいりょくが&color(red){80％}以下のとき~~相手全体のかいひを7％減少させる,303,137,57,661,298,124,909,410,171,,
3,にらめっこ,青,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/NQvIe91ELu.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/gDGspIEJWe.png,たいりょくが50%以上のとき狙われやすくなる,たいりょくが50%以上のとき狙われやすくなり~~&color(red){かいひが3%増加する},135,384,13,313,891,30,405,1151,39,,
4,ねこぱんち,青,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/JitwkJkt6i.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/73shbCb_0G.png,たいりょくが60%以下のときMPが12増加する~~（発動回数：1回）~~さらに被ダメージが13%減少する,たいりょくが&color(red){80%以下}のときMPが12増加する~~（発動回数：1回）~~さらに被ダメージが&color(red){16%}減少する,171,350,249,413,847,601,513,1050,746,,
2,パークスタッフ証,青,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/TtZfwrUP3P.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/E9wtOS2C6M.png,たいりょくが60％以下のとき~~相手全体の与ダメージを6％減少させる,たいりょくが&color(red){80％以下}のとき~~相手全体の与ダメージを6％減少させる,132,150,135,287,326,293,394,449,403,,
3,はじめてのフォト！,青,配布,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/eQp3E1PzNY.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/zHEGpKNvIX.png,たいりょくが80%以上のとき与ダメージが4%増加する,たいりょくが&color(red){70%以上}のとき与ダメージが4%増加する,217,164,152,502,378,352,649,489,456,,
1,ファングセル,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Zp6omFjt6g.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/Iu8q5FPzkX.png,なし,なし,234,34,33,461,67,61,700,103,92,,
1,ボルボックス,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Dbj47GdTv9.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/qQdj_8cCeE.png,なし,なし,40,40,140,74,76,268,111,114,404,,
3,マーチ！,青,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/q9ZJ04Wr7I.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/6q55ayMpUE.png,たいりょくが60%以下のときたいりょくが8%回復する~~（発動回数：1回）,たいりょくが60%以下のときたいりょくが&color(red){10%}回復する~~（発動回数：1回）,81,266,208,186,617,482,241,798,624,,
1,ミカヅキ,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/r3065_QkLC.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/8jYnV5Pw9U.png,なし,なし,84,70,65,164,138,127,250,210,193,,
4,みゃみゃみゃミラクル！,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/s3KWQZpfIo.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/X866fC0rSR.png,与ダメージが8%増加する,与ダメージが&color(red){10%}増加する,0,504,129,0,1218,311,0,1510,386,,
3,みらいよち,青,配布,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Py16cFT0ts.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/I1n0nbyIby.png,たいりょくが30%以下のとき~~味方全体の与ダメージが3%増加する,たいりょくが&color(red){50%以下}のとき~~味方全体の与ダメージが3%増加する,271,175,107,627,399,255,810,514,332,,
3,みんなでGO！,青,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/2lCoaCSP4g.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/0LVyMFdRYD.png,たいりょくが60%以下のとき与ダメージが5%増加する~~地形がサバンナの場合、さらに与ダメージが5%増加する,たいりょくが&color(red){80%以下}のとき与ダメージが5%増加する~~地形がサバンナの場合、さらに与ダメージが5%増加する,227,167,266,526,387,616,680,501,796,,
2,ラッキービースト準備中！,足跡,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/VJW_6DCJX3.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/v0WacrqqQ1.png,毎ターン　プラズムチャージの効果が1回追加される,毎ターン　プラズムチャージの効果が1回追加され~~&color(red){たいりょくが1%回復する},164,194,56,356,422,121,490,580,166,,
4,今日の宿題は2倍ですわ！,足跡,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/W2VlugMVJH.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/xVlIFyp15b.png,かいひが8%増加する,かいひが8%増加し、&color(red){被ダメージが8%減少する},514,0,549,1242,0,1327,1540,0,1645,,
3,酸っぱいぶどう,足跡,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/dcOSPCcimW.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/8_bgQGcPWp.png,毎ターン　プラズムチャージの効果が1回追加される,毎ターン　プラズムチャージの効果が1回追加され~~&color(red){MPが1増加する},417,199,115,968,462,267,1251,597,345,,
2,私たちのレッスン場！,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/xmfvSPAJDG.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/SeeskoLCyN.png,相手全体の被ダメージを1％増加させる,相手全体の被ダメージを&color(red){2％}増加させる,250,69,182,545,150,396,750,206,545,,
2,飼育員更衣室,足跡,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/HPtFCh_1q1.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/RwB9awU6UM.png,どく耐性（低）が増加する,どく耐性（低）と&color(red){すやすや耐性（低）}が増加する,247,175,36,538,385,72,740,530,97,,
2,水浴びターイム！,青,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/W3aGYmZPfe.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/m6QqoD2dEq.png,たいりょくが60％以下のとき~~リラックス(青)、マイペース(水)属性の~~味方の被ダメージが12％減少する,たいりょくが&color(red){80％以下}のとき~~リラックス(青)、マイペース(水)属性の~~味方の被ダメージが12％減少する,357,69,122,778,150,266,1070,207,366,,
2,先生！お願いします,足跡,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/uSEdPAjEcx.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/kE58JRth63.png,毎ターン プラズムチャージの効果が1回追加される,毎ターン プラズムチャージの効果が1回追加され~~&color(red){MPが1増加する},251,99,139,546,216,303,751,297,417,,
4,隊長さーん！,青,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/UAi2XlbPuA.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/mMgpDUgf96.png,&color(#0075c8){たいりょくが80%以下のとき}自身の被ダメージが11%減少し~~さらに味方全体の被ダメージが6%減少する,自身の被ダメージが&color(red){15%}減少し~~さらに味方全体の被ダメージが&color(red){8%}減少する,547,260,166,1323,629,401,1640,780,497,,
3,大ジャンプ,青,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/KcIuWCvA45.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/TmzkCeCpRh.png,たいりょくが60%以下のとき被ダメージが11%減少する,たいりょくが&color(red){80%以下}のとき被ダメージが11%減少する,238,300,74,551,695,171,712,899,221,,
4,大海を往く,足跡,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/2BofktKKLs.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/B6NZd4P4Ug.png,毎ターンたいりょくが3%回復し、狙われやすくなる,毎ターンたいりょくが&color(red){6%}回復し、狙われやすくなる,904,85,213,2186,205,515,2710,254,639,,
2,探検隊日誌,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/OiBTT2dj2h.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/554Pgmt5PK.png,毎ターンたいりょくが1％回復する,毎ターンたいりょくが&color(red){2％}回復する,278,125,88,607,272,192,834,374,264,,
3,着せ替えごっこ,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/yGNpIGW0LA.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/MG38aFQCjh.png,どく耐性（低）とすやすや耐性（低）が増加する,どく耐性（低）とすやすや耐性（低）が増加し~~&color(red){被ダメージが2%減少する},317,234,122,735,542,283,950,701,367,,
3,旅人よ,青,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/siRAdURYUX.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/UrLZvg_QZB.png,たいりょくが100%以上のとき~~「Beat!!!」の与ダメージが12%増加する,たいりょくが&color(red){80%以上}のとき~~「Beat!!!」の与ダメージが12%増加する,547,134,135,1270,311,310,1641,403,400,,
4,これがオレの！,足跡,%%限定%%~~恒常&sup(){[[※2>#koujouoti]]},2019/09/30,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/OEVmyRpZWd.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/z8Q4TwNXms.png,「Beat!!!」の与ダメージが10%増加する,「Beat!!!」の与ダメージが&color(red){12%}増加する,701,251,101,1702,624,245,2111,777,305,,
3,ジャパまんフォト☆３,,その他,2019/09/30,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/bzxwhysB2V.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/bzxwhysB2V.png,なし(強化用素材),なし(強化用素材),0,0,0,0,0,0,0,0,0,,
3,読書タイム,青,%%限定%%~~恒常&sup(){[[※2>#koujouoti]]}~~イベ報酬,2019/09/30,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/WCduViY2SF.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/aHAjJPSZHq.png,たいりょくが60％以下のとき攻撃命中率が10％増加する,たいりょくが&color(red){80％以下}のとき攻撃命中率が&color(red){14％}増加する,403,118,236,935,274,548,1209,354,708,,
4,よるに花咲く,青,%%限定%%~~恒常&sup(){[[※2>#koujouoti]]},2019/10/04,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/XjGLnVv6le.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/__txDtCAf5.png,&color(#0075c8){たいりょくが60%以上で}ステージの時間が夜の場合~~与ダメージが10%増加し、被ダメージが3%減少する,ステージの時間が夜の場合~~与ダメージが10%増加し、被ダメージが&color(red){5%}減少する~~&color(red){さらに「Action!」の与ダメージが10%増加する},35,437,203,84,1057,489,105,1311,607,,
3,わたしひとりで作れるよ！,青,配布,2019/10/09,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/4ZtBaY77rZ.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/lvn7z2Tk3G.png,たいりょくが80%以上のとき被ダメージが7%減少する,たいりょくが&color(red){60%以上}のとき被ダメージが7%減少する,137,111,271,317,255,628,410,330,812,,
4,サイキョーだからね～,青,%%限定%%~~恒常&sup(){[[※1>#koujouoti]]},2019/10/17,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/T9lHVTgJ6B.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/QwrD_JzVmX.png,たいりょくが80%以上のとき与ダメージが8%増加し~~たいりょくが80%以下のとき被ダメージが10%減少する,たいりょくが80%以上のとき与ダメージが&color(red){9%}増加し~~たいりょくが80%以下のとき被ダメージが&color(red){16%}減少する,0,367,320,0,888,773,0,1101,959,,
3,い、いかくのポーズっ！,足跡,%%限定%%~~恒常&sup(){[[※1>#koujouoti]]}~~イベ報酬,2019/10/17,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/jwJM6t1rzx.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/IhNFqns14M.png,たいりょくが80％以上のときかいひが2％増加する~~地形がジャングルの場合、さらにかいひが2％増加する,たいりょくが&color(red){60％以上}のときかいひが&color(red){4％}増加する~~地形がジャングルの場合、さらにかいひが&color(red){3％}増加する,210,284,112,487,658,258,630,851,334,,
4,はりこみっ,青,%%限定%%~~恒常&sup(){[[※2>#koujouoti]]},2019/10/31,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/hqKWH4KPx8.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/y59entBZ1P.png,たいりょくが40%以下のときMPが8増加し~~たいりょくが8%回復する（発動回数：1回）,たいりょくが40%以下のときMPが&color(red){10}増加し~~たいりょくが&color(red){10}%回復する（発動回数：1回）,587,102,299,1430,246,717,1775,305,888,,
3,悪と反逆の使徒！,足跡,%%限定%%~~恒常&sup(){[[※2>#koujouoti]]}~~イベ報酬,2019/10/31,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/QHRLOy5MgO.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/OnzBEMYrVH.png,くらくら耐性（低）が増加し、被ダメージが2%減少する,くらくら耐性（&color(red){中}）が増加し、被ダメージが&color(red){3%}減少する,350,231,162,819,536,376,1060,693,486,,
4,いんたーみっしょん,足跡,%%限定%%~~恒常&sup(){[[※2>#koujouoti]]},2019/11/04,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/WSVMflyAph.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/R6SyXylNU6.png,「Try!!」の与ダメージが7%増加し~~少しだけ狙われにくくなる,「Try!!」の与ダメージが&color(red){10%}増加し~~少しだけ狙われにくくなる,610,341,0,1460,838,0,1808,1042,0,,
3,Good night,青,配布,2019/11/08,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/fT6LotAmxt.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/yZIp0hih4z.png,ステージが夜の場合、被ダメージが7%減少する,ステージが夜の場合、被ダメージが&color(red){10%}減少する,401,26,210,931,60,487,1203,78,630,,
4,ふぃにっしゅ,足跡,%%限定%%~~恒常&sup(){[[※1>#koujouoti]]},2019/11/14,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/HFdQCTwXJn.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/lg6Fkqrtck.png,相手全体のかいひを4%減少させる,相手全体のかいひを&color(red){6%}減少させる,289,356,267,699,861,646,867,1068,801,,
3,どっちに行こうかな,足跡,%%限定%%~~恒常&sup(){[[※1>#koujouoti]]}~~イベ報酬,2019/11/14,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/u9GaWtsubV.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/wZ99EBNynW.png,「Action!」の与ダメージが7%増加する,「Action!」の与ダメージが&color(red){10%}増加する,450,121,184,1044,280,427,1350,363,552,,
4,参ります！,青,%%限定%%~~恒常&sup(){[[※1>#koujouoti]]},2019/12/05,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/TyqcbBxeop.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/GzLcnbnjUy.png,たいりょくが80%以上のとき~~「Action!」の与ダメージが12%増加する,たいりょくが80%以上のとき~~「Action!」の与ダメージが&color(red){14%}増加する,967,74,194,2339,177,468,2900,220,581,,
3,おいしい差し入れ,足跡,%%限定%%~~恒常&sup(){[[※1>#koujouoti]]}~~イベ報酬,2019/12/05,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/_PUb05hOxN.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/yESpN9q__j.png,バトル開始時にMPが7増加する,バトル開始時にMPが&color(red){9}増加する,270,205,188,626,476,436,810,615,564,,
4,よいこへ届け,青,%%限定%%~~恒常&sup(){[[※2>#koujouoti]]},2019/12/13,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/3JoEl2QOO3.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/X0Uzc2lTjJ.png,自身のたいりょくが30%以下のとき~~味方全体のMPが5増加する（発動回数：1回）,自身のたいりょくが30%以下のとき~~味方全体のMPが&color(red){7}増加する（発動回数：1回）,1211,101,190,2930,244,459,3633,303,570,,
