ID,フレンズ名,属性違い二つ名,HC,ページURL,属性,サブ属性,実装日,実装種別,実装種別詳細,一覧順,アイコンURL,初期けも級,野生大解放,12ポケ,特別衣装数,CV,かいひ,かいひ野生5,ぷらずむ,Beatフラッグ,Actionフラッグ,Tryフラッグ,Beat補正,Action補正,Try補正,Beat補正野生5,Action補正野生5,Try補正野生5,Lv最大けもステ,Lv最大たいりょく,Lv最大こうげき,Lv最大まもり,Lv90けもステ,Lv90たいりょく,Lv90こうげき,Lv90まもり,Lv99けもステ,Lv99たいりょく,Lv99こうげき,Lv99まもり,Lv90野生5けもステ,Lv90野生5たいりょく,Lv90野生5こうげき,Lv90野生5まもり,Lv99野生5けもステ,Lv99野生5たいりょく,Lv99野生5こうげき,Lv99野生5まもり,☆1Lv1たいりょく,☆1Lv1こうげき,☆1Lv1まもり,☆1Lv90たいりょく,☆1Lv90こうげき,☆1Lv90まもり,☆1Lv99たいりょく,☆1Lv99こうげき,☆1Lv99まもり,☆1野生解放1たいりょく,☆1野生解放1こうげき,☆1野生解放1まもり,☆1野生解放2たいりょく,☆1野生解放2こうげき,☆1野生解放2まもり,☆1野生解放3たいりょく,☆1野生解放3こうげき,☆1野生解放3まもり,☆1野生解放4たいりょく,☆1野生解放4こうげき,☆1野生解放4まもり,☆1野生解放5たいりょく,☆1野生解放5こうげき,☆1野生解放5まもり,☆1野生解放1-4合計たいりょく,☆1野生解放1-4合計こうげき,☆1野生解放1-4合計まもり,☆1野生解放1-5合計たいりょく,☆1野生解放1-5合計こうげき,☆1野生解放1-5合計まもり,Lv100+上昇パターン,けものミラクル技名,けものミラクル効果Lv1,けものミラクル効果Lv5,けものミラクル必要MP,けものミラクル＋,とくいわざ技名,とくいわざ効果,たいきスキル技名,たいきスキル効果,たいきスキル発動率,たいきスキル発動回数,とくせい技名,とくせい効果,キセキとくせい技名,キセキとくせい効果,なないろとくせい技名,なないろとくせい効果,自己紹介テキスト,ずかんテキスト,動物フォト属性,動物フォトとくせい効果変化前,動物フォトとくせい効果変化後
ダチョウ,ダチョウ,,,,リラックス,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,9,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/57CXKt3Hxi.png,2,〇,,2,,0.01,0.012,60,2,25,"30,40",0.06,0.05,0.05,0.06999999999999999,0.060000000000000005,0.060000000000000005,26555,13040,3837,2306,36993,18204,5355,3182,39099,19241,5660,3363,40854,20105,5914,3514,,,,,1675,493,351,10050,2955,1755,10992,3232,1920,1152,339,202,1481,436,259,1892,557,331,1974,581,345,1728,508,302,6499,1913,1137,8227,2421,1439,こうげき+50型,,,,,,,,,,,,,,,,穏やかな未来、その先へ,ギブアップ中ではない味方が3人以上の場合~~毎ターンリラックス(青)属性の味方のたいりょくが3％回復し、MPが2増加する,,,,,
オオアルマジロ,オオアルマジロ,,,,アクティブ,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,10,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/etMkSzhwDr.png,2,〇,,5,,0.01,0.012,50,1,"15,15","20,30",0.05,0.06,0.05,0.060000000000000005,0.06999999999999999,0.060000000000000005,25156,12974,2524,3602,34999,18111,3524,4969,36993,19142,3725,5252,,,,,,,,,1667,325,549,9999,1945,2742,10936,2128,2999,1146,223,315,1473,287,404,1882,366,517,1964,382,539,1719,335,472,6465,1258,1775,8184,1593,2247,まもり+50型,,,,,,,,,,,,,,,,どんな依頼もササッと解決！,自身の被ダメージが10%減少する~~さらに自身が攻撃対象ではない場合~~攻撃対象の中で最もたいりょく割合の低い味方をかばう~~ギブアップになる味方がいる場合は優先してかばう~~※かばう発動率50%　発動時の被ダメージ15%減少,,,,,
アメリカビーバー,アメリカビーバー,,,,ファニー,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,11,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/ht4LKUmaEp.png,2,〇,,2,,0.01,0.012,30,1,"15,25","20,30",0.06,0.05,0.05,0.06999999999999999,0.060000000000000005,0.060000000000000005,26202,9714,4966,1766,36576,13560,6932,2466,38655,14331,7326,2606,,,,,,,,,1248,638,227,7486,3826,1360,8187,4185,1488,,,,,,,1409,720,256,1471,752,268,1287,658,234,4841,2475,881,6128,3133,1115,こうげき+50型,,,,,,,,,,,,,,,,とぎすまされた技,自身の与ダメージと攻撃命中率が10%増加する,,,,,
ミナミコアリクイ,ミナミコアリクイ,,,,ラブリー,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,12,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/1TzNZDbgrU.png,2,〇,,2,,0.01,0.012,70,1,"15,30","20,30",0.05,0.05,0.06,0.060000000000000005,0.060000000000000005,0.06999999999999999,25728,11743,4121,1985,35847,16393,5752,2738,37890,17325,6080,2895,,,,,,,,,1509,530,302,9050,3175,1510,9898,3473,1652,1037,364,174,1333,468,223,1704,598,285,1778,624,297,1556,546,260,5852,2054,979,7408,2600,1239,こうげき+65型,,,,,,,,,,,,,,,,勇気の一歩！,自身のたいりよくが20%以下のとき~~自身の与ダメージとかいひが15%増加する,,,,,
マレーバク,マレーバク,,,,ラブリー,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,13,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/o7phGhfCao.png,2,〇,,2,,0.01,0.012,20,2,20,"20,40",0.05,0.06,0.05,0.060000000000000005,0.06999999999999999,0.060000000000000005,25547,10948,3446,3225,35644,15283,4811,4492,37674,16153,5085,4748,,,,,,,,,1407,443,428,8438,2655,2479,9229,2904,2712,,,,,,,,,,,,,1450,457,426,5455,1718,1604,6905,2175,2030,こうげき+50型,,,,,,,,,,,,,,,,カメラに写る思い出,自身がルンルンきぶん状態になる,,,,,
サバンナシマウマ,サバンナシマウマ,,,,マイペース,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,14,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Zst6rcy8mT.png,2,〇,,3,,0.01,0.012,20,1,"20,20","20,30",0.05,0.06,0.05,0.060000000000000005,0.06999999999999999,0.060000000000000005,25556,11917,3986,2032,35660,16636,5563,2831,37690,17582,5880,2992,,,,,,,,,1531,512,270,9184,3070,1562,10044,3358,1709,,,,,,,,,,,,,1579,528,269,5939,1987,1011,7518,2515,1280,たいりょく+50型,,,,,,,,,,,,,,,,シマシマ数えは永遠です,自身がギブアップ状態でないとき~~味方全体の被ダメージが10％減少し~~毎ターン味方全体のたいりょくが3％回復する,,,,,
ハクトウワシ,ハクトウワシ,,,,アクティブ,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),配布,1章,15,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/akLOobAncO.png,2,〇,,4,,0.01,0.012,50,2,"15,20",30,0.05,0.05,0.06,0.060000000000000005,0.060000000000000005,0.06999999999999999,27894,10669,5060,2089,38921,14893,7062,2910,41136,15740,7464,3076,,,,,45199,17295,8201,3380,1371,650,277,8222,3898,1605,8992,4263,1756,,,,,,,,,,,,,1413,670,276,5317,2522,1040,6730,3192,1316,こうげき+50型,,,,,,,,,,,,,,,,勇敢なこころざし,自身の与ダメージが10%増加し~~被ダメージが10%減少する~~さらに自身のたいりょくが50%以下のとき~~自身の与ダメージが10%増加し~~毎ターンたいりょくが5%回復する,,,,,
マイルカ,マイルカ,,,,ファニー,,Wed Oct 09 2019 00:00:00 GMT+0900 (日本標準時),配布,3章,16,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/ZzJUiNDJTj.png,2,〇,,5,,0.01,0.012,40,2,"15,20",30,0.05,0.05,0.06,0.060000000000000005,0.060000000000000005,0.06999999999999999,23846,10347,3488,2552,33442,14764,4774,3654,35382,15666,5029,3881,,,,,,,,,1459,410,381,8750,2458,2205,9570,2689,2412,828,334,198,1064,429,254,1360,548,325,1419,571,339,1400,652,310,4671,1882,1116,6071,2534,1426,たいりょく+50型,,,,,,,,,,,,,,,,わくわく海あそび！,ファニー(赤)属性の味方の与ダメージが10%増加し~~自身の被ダメージが15%減少する~~さらに自身のたいりょくが50％以下になったとき~~自身のたいりょくが40％回復する~~(発動回数：1回),,,,,
アフリカゾウ,アフリカゾウ,,,,リラックス,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,17,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/qVufNoWzjZ.png,3,〇,,2,,0.006,0.017,40,2,"15,15",40,0.05,0.06,0.05,0.060000000000000005,0.06999999999999999,0.060000000000000005,31888,15293,4845,2559,40439,19422,6153,3221,42742,20528,6503,3405,,,,,,,,,1966,623,391,10723,3395,1777,11728,3713,1944,,,,,,,,,,,,,1843,584,306,6933,2198,1151,8776,2782,1457,こうげき+50型,,,,,,,,,,,,,,,,いつか立派なリーダーに！,自身の与ダメージが10％増加する~~さらに自身のたいりょくが20％以下になったとき~~自身のたいりょくが30％回復し、全ての状態異常を解除する~~(発動回数：1回),,,,,
クロサイ,クロサイ,,,,アクティブ,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,18,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/2Px9Ru8ObW.png,3,〇,,4,,0.01,0.012,10,2,"15,15",30,0.05,0.05,0.06,0.060000000000000005,0.060000000000000005,0.06999999999999999,29795,14827,3107,4306,37742,18830,3946,5420,39893,19902,4171,5729,,,,,,,,,1906,400,659,10396,2178,2991,11370,2382,3272,1191,250,343,1532,321,441,1957,410,564,2042,428,588,1787,375,515,6722,1409,1936,8509,1784,2451,まもり+50型,,,,,,,,,,,,,,,,騎士の決意,自身の与ダメージが10％増加する~~さらに自身がギブアップ状態でないとき~~自身を除く味方全体の与ダメージが15%増加する,,,,,
オオフラミンゴ,オオフラミンゴ,,,,フレンドリー,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,19,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/W7vzcgSD8m.png,3,〇,,3,,0.01,0.012,20,2,"15,20",30,0.05,0.06,0.05,0.060000000000000005,0.06999999999999999,0.060000000000000005,30652,11616,5407,2569,38933,14753,6868,3263,41146,15592,7258,3449,,,,,,,,,1494,695,330,8145,3790,1800,8908,4145,1969,933,435,207,1200,559,266,1533,714,339,1600,745,354,1400,652,310,5266,2453,1166,6666,3105,1476,たいりょく+50型,,,,,,,,,,,,,,,,パークで一番熱いダンス,自身のかいひが10%増加する~~さらに自身がギブアップ状態でないとき~~フレンドリー(緑)属性の味方の攻撃命中率が5%増加する,,,,,
シロサイ,シロサイ,,,,アクティブ,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,20,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/VXqD4Ud6Jk.png,3,〇,,3,,0.01,0.012,30,2,20,"20,20",0.05,0.05,0.06,0.060000000000000005,0.060000000000000005,0.06999999999999999,31661,12996,4994,3141,40199,16506,6342,3984,42485,17445,6703,4210,,,,,,,,,1671,642,418,9113,3500,2199,9967,3828,2405,1044,402,252,1343,516,324,1715,659,414,1790,688,432,1566,602,378,5892,2265,1422,7458,2867,1800,こうげき+50型,,,,,,,,,,,,,,,,お嬢様の優雅な休息,自身の被ダメージが10％減少し~~アクティブ(黄緑)属性の味方のあせあせ耐性(高)が増加する,,,,,
オグロプレーリードッグ,オグロプレーリードッグ,,,,ファニー,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,21,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/naNFynAYLH.png,3,〇,,3,,0.06,0.062,30,2,"20,25",30,0.05,0.06,0.05,0.060000000000000005,0.06999999999999999,0.060000000000000005,32328,11927,6410,1778,41060,15147,8142,2258,43395,16009,8605,2386,,,,,,,,,1534,824,229,8362,4494,1245,9145,4915,1362,959,515,143,1232,663,184,1574,846,235,1643,883,245,1438,773,215,5408,2907,807,6846,3680,1022,こうげき+50型,,,,,,,,,,,,,,,,大切なファミリーのために,ファニー(赤)属性の味方の与ダメージが5％増加する~~さらに自身のたいりょくが50％以下のとき~~味方全体の与ダメージが5％増加する,,,,,
カリフォルニアラッコ,カリフォルニアラッコ,,,,マイペース,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,22,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/KNYj3VgmQg.png,3,〇,,2,,0.01,0.012,20,2,30,"30,30",0.06,0.05,0.05,0.06999999999999999,0.060000000000000005,0.060000000000000005,31984,13395,5670,2129,40610,17012,7200,2700,42922,17980,7610,2854,,,,,,,,,1722,729,283,9392,3974,1489,10272,4347,1629,1076,456,171,1384,586,220,1768,748,281,1845,781,293,1614,683,256,6073,2571,965,7687,3254,1221,たいりょく+50型,,,,,,,,,,,,,,,,海のベッドでおやすみ,毎ターン味方全体のたいりよくが1%回復する~~さらに地形がみずべの場合~~マイペース(水)属性の味方がギブアップになる~~ダメージを受けたとき、たいりよく1で耐える~~(発動回数：1回)※たいりよく1のときには発動しない,,,,,
コツメカワウソ,コツメカワウソ,,,,ファニー,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,23,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/0aTjwMoXnY.png,3,〇,,2,,0.01,0.012,10,1,"5,25","20,30",0.05,0.06,0.05,0.060000000000000005,0.06999999999999999,0.060000000000000005,30228,11799,5066,2795,38389,14986,6434,3549,40576,15838,6801,3751,,,,,,,,,1517,652,359,8273,3551,1958,9048,3884,2142,948,407,225,1219,524,289,1558,669,369,1625,698,385,1422,611,337,5350,2298,1268,6772,2909,1605,こうげき+50型,,,,,,,,,,,,,,,,目指すはトップ声優っ！,毎ターン自身のたいりょくが3％回復する,,,,,
トキ,トキ,,,,ラブリー,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),配布,初期,24,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/kXqyjD2zn9.png,3,〇,,4,,0.01,0.012,30,1,"10,15","20,30",0.06,0.05,0.05,0.06999999999999999,0.060000000000000005,0.060000000000000005,32459,12613,5264,3288,41207,16019,6685,4168,43554,16929,7066,4406,,,,,,,,,1622,677,437,8843,3690,2300,9671,4036,2516,,,,,,,,,,,,,1520,635,396,5719,2387,1489,7239,3022,1885,こうげき+50型,,,,,,,,,,,,,,,,歌でファンサービス♪,自身がギブアップ状態でないとき~~味方全体のくらくら耐性(低)が増加し~~相手全体のくらくら耐性(低)が減少する,,,,,
ヒツジ,ヒツジ,,,,ファニー,,Thu Oct 24 2019 00:00:00 GMT+0900 (日本標準時),配布,○月招待,25,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/iyg5Y2XLlE.png,3,〇,,2,,0.006,0.007,10,2,"15,20",30,0.05,0.06,0.05,0.06,0.07,0.06,31229,14048,4992,2507,39652,17841,6341,3178,41912,18857,6702,3360,,,,,,,,,1806,642,333,9850,3500,1753,,,,,,,,,,,,,,,,1693,602,302,6369,2264,1136,8062,2866,1438,,,,,,,,,,,,,,,,,いちにのさんでぐっすり♪,自身の与ダメージが10％増加する~~さらに自身のたいりょくが60％以下のとき~~フレンドリー(緑)属性の相手のすやすや耐性(中)を減少させる,,,,,
オオタカ,オオタカ,,,,ラブリー,,Thu Nov 21 2019 00:00:00 GMT+0900 (日本標準時),配布,○月招待,26,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/sAVFnriT0s.png,3,〇,,3,,0.04,0.042,20,1,"15,15","20,20",0.05,0.06,0.05,0.06,0.07,0.06,32291,12921,5712,2409,41011,16411,7254,3060,43342,17345,7666,3234,,,,,,,,,1661,735,310,9060,4004,1688,9909,4379,1847,,,,,,,,,,,,,1557,688,291,5859,2590,1093,7416,3278,1384,こうげき+50型,,,,,,,,,,,,,,,,トップスピードで羽ばたいて,バトル開始時に自身のMPが40増加する,,,,,
トナカイ,トナカイ,,,,フレンドリー,,Sun Dec 22 2019 00:00:00 GMT+0900 (日本標準時),配布,マップ,27,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/0tt03hkFKs.png,3,〇,,2,,0.01,0.012,20,2,15,"20,30",0.05,0.05,0.06,0.06,0.06,0.07,32403,14262,5137,2791,41142,18113,6525,3538,43482,19144,6896,3739,,,,,47777,21035,7577,4109,1834,661,371,10000,3601,1952,10937,3939,2135,1146,413,224,1473,531,288,1883,678,368,1964,708,384,1719,619,336,6466,2330,1264,8185,2949,1600,たいりょく+50型,みんな笑顔にな～れっ！,,,80,Try!!,,,,,,,,,,,しあわせをお届け♪,フレンドリー(緑)属性の味方の与ダメージが10％増加する~~さらに地形が寒冷地の場合~~追加でフレンドリー(緑)属性の味方の与ダメージが10％増加する,,,,,
クジャク,クジャク,,,,リラックス,,Wed Dec 25 2019 00:00:00 GMT+0900 (日本標準時),配布,○月招待,28,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/CrdvzxGD7U.png,4,〇,,3,,0.01,0.012,60,1,15,"20,20,30",0.05,0.05,0.06,0.06,0.06,0.07,32710,14980,5000,2863,41528,19025,6350,3629,43894,20107,6712,3836,,,,,,,,,1926,643,380,10504,3504,2002,11488,3833,2190,1204,402,230,1547,517,296,1977,660,377,2063,689,394,1805,603,345,6791,2268,1297,8596,2871,1642,たいりょく+50型,,,,,,,,,,,,,,,,孔雀茶屋でお待ちしています,自身を除く味方全体の「Try!!」の与ダメージが10％増加する,,,,,
ツチノコ,ツチノコ,,,,マイペース,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,29,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/dxOaTQQIPK.png,4,〇,〇,3,,0.07,0.074,20,1,"15,20","20,30",0.05,0.06,0.05,0.06,0.07,0.06,39678,14479,7322,3064,46224,16867,8530,3570,48852,17826,9015,3773,,,,,53679,19586,9906,4146,1863,942,394,9312,4708,1970,10184,5149,2155,,,,,,,,,,,,,1600,810,339,6021,3046,1275,7621,3856,1614,こうげき+50型,,,,,,,,,,,,,,,,この探求はだれにも止められない,自身の与ダメージと攻撃命中率が10％増加し~~マイペース(水)属性の味方の攻撃命中率が5％増加する,,,,,
